,school_name,address,postal_code,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,sch_lat,sch_lon,dist_centre,type_primary,type_secondary,type_juniorcollege,type_polytechnic,type_university
21,ROSYTH SCHOOL,21 SERANGOON NORTH AVENUE 4,555855,SERANGOON,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,1.3728907,103.8750015,10.2376,1,0,0,0,0
22,DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT,479226,BEDOK,EAST,EAST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3354611,103.9212702,9.6481,1,0,0,0,0
23,FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13,609647,JURONG EAST,WEST,WEST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3365039,103.7361037,14.1032,1,0,0,0,0
24,WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50,738853,WOODLANDS,NORTH,NORTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.4365511,103.7915705,18.2403,1,0,0,0,0
25,EUNOS PRIMARY SCHOOL,95 JALAN EUNOS,419529,GEYLANG,EAST,EAST 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3244763,103.9045413,7.4269,1,0,0,0,0
26,HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD,278790,BUKIT TIMAH,WEST,WEST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,1.3166765,103.7842962,8.315,1,0,0,0,0
27,BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD,339948,KALLANG,SOUTH,SOUTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3218125,103.8654042,4.4915,1,0,0,0,0
28,CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24,648347,JURONG WEST,WEST,WEST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3509978,103.7075937,17.6573,1,0,0,0,0
29,YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51,538720,HOUGANG,NORTH,NORTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3779326,103.8856437,11.127,1,0,0,0,0
30,BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS,109100,BUKIT MERAH,SOUTH,SOUTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.2761205,103.8086285,4.8453,1,0,0,0,0
31,ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3,569920,ANG MO KIO,SOUTH,SOUTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3693218,103.8396309,9.5927,1,0,0,0,0
32,MAYFLOWER PRIMARY SCHOOL,200 ANG MO KIO AVE 5,569878,ANG MO KIO,SOUTH,SOUTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,1.3763768,103.8432528,10.327,1,0,0,0,0
